epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.56,0.39614,0.25167,0.78977,0.95037,0.88277,0.93755,0.77161,0.62061,0.44408,0.82769,0.0668549,3.31783e-05,3.31783e-05
2,228.788,0.34723,0.21641,0.78638,0.94327,0.8975,0.94162,0.7814,0.60546,0.43071,0.82518,0.0335538,6.54031e-05,6.54031e-05
3,343.88,0.32818,0.20302,0.78268,0.93258,0.90487,0.94334,0.78544,0.59584,0.431,0.82406,0.000251556,9.65168e-05,9.65168e-05
4,461.341,0.32954,0.20174,0.78408,0.94788,0.88996,0.94337,0.78175,0.60608,0.431,0.82422,9.5e-05,9.5e-05,9.5e-05
5,573.198,0.32789,0.20089,0.78307,0.9366,0.90056,0.94347,0.78274,0.59728,0.42939,0.82423,9.33334e-05,9.33334e-05,9.33334e-05
6,690.309,0.3215,0.19899,0.78483,0.93079,0.90272,0.94176,0.78231,0.59978,0.42866,0.82483,9.16667e-05,9.16667e-05,9.16667e-05
7,811.131,0.32213,0.19924,0.78467,0.92901,0.89904,0.93833,0.77872,0.60117,0.44086,0.82507,9.00001e-05,9.00001e-05,9.00001e-05
8,931.264,0.31831,0.19687,0.78283,0.93807,0.89671,0.94007,0.78006,0.60097,0.43352,0.82451,8.83335e-05,8.83335e-05,8.83335e-05
9,1045.52,0.32272,0.19829,0.7831,0.94452,0.89338,0.94282,0.78354,0.59925,0.43077,0.8248,8.66668e-05,8.66668e-05,8.66668e-05
10,1166.02,0.31976,0.19725,0.78191,0.93756,0.90141,0.94417,0.7831,0.60054,0.43336,0.82472,8.50002e-05,8.50002e-05,8.50002e-05
11,1283.98,0.31983,0.19703,0.78275,0.93802,0.89905,0.94485,0.785,0.60064,0.43446,0.82394,8.33335e-05,8.33335e-05,8.33335e-05
12,1398.8,0.31851,0.19664,0.78257,0.93574,0.90262,0.94355,0.78531,0.59874,0.43202,0.82357,8.16669e-05,8.16669e-05,8.16669e-05
13,1521.09,0.3188,0.1968,0.7835,0.93471,0.90233,0.94317,0.78397,0.60172,0.43165,0.82469,8.00002e-05,8.00002e-05,8.00002e-05
14,1635.49,0.31738,0.19574,0.78283,0.93536,0.90121,0.94271,0.78378,0.5985,0.42981,0.82497,7.83335e-05,7.83335e-05,7.83335e-05
15,1750.92,0.31975,0.19766,0.78393,0.93308,0.9038,0.94303,0.7832,0.59796,0.43161,0.82348,7.66669e-05,7.66669e-05,7.66669e-05
16,1868.41,0.31588,0.19498,0.78165,0.93237,0.9027,0.94415,0.78492,0.59598,0.42854,0.82378,7.50003e-05,7.50003e-05,7.50003e-05
17,1989.12,0.31397,0.19504,0.78152,0.931,0.9034,0.94341,0.78533,0.59585,0.42595,0.82435,7.33336e-05,7.33336e-05,7.33336e-05
18,2106.12,0.31853,0.19461,0.78187,0.93369,0.90478,0.94438,0.78605,0.59343,0.42926,0.82371,7.16669e-05,7.16669e-05,7.16669e-05
19,2221.76,0.31286,0.19335,0.78352,0.93316,0.90473,0.94424,0.78421,0.59903,0.42838,0.82445,7.00003e-05,7.00003e-05,7.00003e-05
20,2340.97,0.3133,0.19466,0.78134,0.93509,0.90357,0.94352,0.78225,0.60362,0.43303,0.82464,6.83337e-05,6.83337e-05,6.83337e-05
21,2454.84,0.31899,0.19587,0.78099,0.94262,0.89976,0.94386,0.78454,0.59761,0.42595,0.82451,6.6667e-05,6.6667e-05,6.6667e-05
22,2569.06,0.3131,0.19438,0.78192,0.93635,0.90394,0.94437,0.78646,0.59621,0.42718,0.82303,6.50004e-05,6.50004e-05,6.50004e-05
23,2693.32,0.31308,0.19338,0.78053,0.93817,0.90035,0.9443,0.78488,0.597,0.43055,0.82399,6.33337e-05,6.33337e-05,6.33337e-05
24,2813.32,0.31407,0.19419,0.77994,0.93476,0.9022,0.94428,0.78454,0.59868,0.43195,0.8242,6.16671e-05,6.16671e-05,6.16671e-05
25,2928.87,0.31281,0.19299,0.7827,0.93058,0.90336,0.94328,0.78412,0.5964,0.43195,0.824,6.00004e-05,6.00004e-05,6.00004e-05
26,3043.2,0.31291,0.19454,0.78293,0.94295,0.89482,0.94358,0.7852,0.59604,0.42938,0.82382,5.83337e-05,5.83337e-05,5.83337e-05
27,3158.95,0.30999,0.19212,0.78068,0.93485,0.89987,0.9442,0.786,0.59319,0.42398,0.82351,5.66671e-05,5.66671e-05,5.66671e-05
28,3280.29,0.31038,0.1927,0.78187,0.93302,0.90228,0.94429,0.78556,0.59259,0.42662,0.82319,5.50005e-05,5.50005e-05,5.50005e-05
29,3399.22,0.30926,0.19189,0.78125,0.93297,0.9033,0.9441,0.7852,0.59361,0.43082,0.82299,5.33338e-05,5.33338e-05,5.33338e-05
30,3513.8,0.3145,0.19347,0.78141,0.9342,0.90314,0.94402,0.785,0.59466,0.42886,0.8238,5.16671e-05,5.16671e-05,5.16671e-05
31,3633.26,0.31365,0.19326,0.78303,0.93112,0.90613,0.94368,0.78487,0.59588,0.42824,0.82445,5.00005e-05,5.00005e-05,5.00005e-05
32,3746.45,0.30755,0.19032,0.78186,0.93003,0.90792,0.94375,0.78423,0.59827,0.43125,0.82321,4.83339e-05,4.83339e-05,4.83339e-05
33,3859.53,0.31069,0.19218,0.78044,0.92964,0.90734,0.9437,0.78379,0.59873,0.43162,0.82414,4.66672e-05,4.66672e-05,4.66672e-05
34,3975.58,0.31066,0.19261,0.78237,0.93055,0.90536,0.94426,0.7857,0.59344,0.4266,0.82418,4.50006e-05,4.50006e-05,4.50006e-05
35,4088.9,0.30945,0.19131,0.78093,0.93216,0.90316,0.94397,0.78405,0.60324,0.43112,0.82479,4.33339e-05,4.33339e-05,4.33339e-05
36,4201.94,0.31272,0.1933,0.78182,0.9336,0.9041,0.94469,0.7861,0.59251,0.42497,0.82393,4.16673e-05,4.16673e-05,4.16673e-05
37,4318.72,0.31226,0.1929,0.78243,0.93543,0.90275,0.94476,0.78407,0.59777,0.42687,0.82413,4.00006e-05,4.00006e-05,4.00006e-05
38,4433.89,0.30913,0.19187,0.78159,0.93401,0.90404,0.94508,0.78573,0.59468,0.4256,0.82413,3.83339e-05,3.83339e-05,3.83339e-05
39,4546.5,0.30948,0.19252,0.7812,0.93546,0.90343,0.94436,0.7861,0.59526,0.42557,0.82416,3.66673e-05,3.66673e-05,3.66673e-05
40,4661.72,0.30998,0.1912,0.78003,0.93302,0.90404,0.94381,0.78498,0.59536,0.42866,0.82466,3.50007e-05,3.50007e-05,3.50007e-05
41,4779.63,0.30613,0.19073,0.78009,0.93698,0.9009,0.94404,0.7857,0.59138,0.42729,0.82391,3.3334e-05,3.3334e-05,3.3334e-05
42,4892.54,0.31039,0.19209,0.78162,0.93935,0.89955,0.94417,0.78618,0.59327,0.42797,0.82374,3.16674e-05,3.16674e-05,3.16674e-05
43,5008.02,0.30886,0.19129,0.78008,0.93976,0.89844,0.94438,0.78554,0.59602,0.43041,0.82395,3.00007e-05,3.00007e-05,3.00007e-05
44,5129.99,0.30891,0.19068,0.78108,0.9453,0.89275,0.94431,0.786,0.59472,0.42888,0.82369,2.83341e-05,2.83341e-05,2.83341e-05
45,5242.91,0.30556,0.1896,0.78115,0.94143,0.89831,0.94408,0.78539,0.59821,0.42785,0.82424,2.66674e-05,2.66674e-05,2.66674e-05
46,5356.08,0.30722,0.18971,0.78085,0.9429,0.89547,0.9444,0.78676,0.59064,0.42489,0.82334,2.50007e-05,2.50007e-05,2.50007e-05
47,5476.15,0.30719,0.19023,0.7824,0.94294,0.89544,0.9439,0.7858,0.59449,0.42631,0.82354,2.33341e-05,2.33341e-05,2.33341e-05
48,5594.03,0.30919,0.19032,0.78278,0.93963,0.89949,0.94427,0.78602,0.59329,0.42597,0.82331,2.16675e-05,2.16675e-05,2.16675e-05
49,5711.15,0.30741,0.19021,0.78186,0.93732,0.89938,0.94366,0.78614,0.59463,0.42821,0.82346,2.00008e-05,2.00008e-05,2.00008e-05
50,5824.24,0.30717,0.19163,0.77986,0.93909,0.89765,0.94357,0.78487,0.59647,0.4281,0.82379,1.83342e-05,1.83342e-05,1.83342e-05
51,5954.1,0.30315,0.18849,0.78042,0.93494,0.90087,0.94377,0.7854,0.59412,0.4281,0.82372,1.66675e-05,1.66675e-05,1.66675e-05
52,6068.78,0.3023,0.18818,0.78009,0.9357,0.90016,0.94411,0.78624,0.58999,0.42612,0.82346,1.50009e-05,1.50009e-05,1.50009e-05
53,6189.38,0.3033,0.18926,0.78042,0.93636,0.90091,0.94428,0.78571,0.59394,0.42904,0.82349,1.33342e-05,1.33342e-05,1.33342e-05
54,6303.4,0.30376,0.18835,0.77917,0.93676,0.90089,0.94433,0.78664,0.59173,0.4294,0.82368,1.16676e-05,1.16676e-05,1.16676e-05
55,6418.52,0.30517,0.1894,0.78113,0.9412,0.8961,0.9441,0.7868,0.5925,0.42775,0.82335,1.00009e-05,1.00009e-05,1.00009e-05
56,6535.2,0.30643,0.18979,0.782,0.93633,0.90032,0.94409,0.78635,0.594,0.42857,0.82346,8.33425e-06,8.33425e-06,8.33425e-06
57,6651.25,0.30411,0.18826,0.78143,0.94244,0.89708,0.94436,0.78657,0.59229,0.42762,0.82328,6.6676e-06,6.6676e-06,6.6676e-06
58,6763.62,0.30686,0.1893,0.78026,0.93744,0.90138,0.94464,0.78686,0.59192,0.42742,0.82355,5.00095e-06,5.00095e-06,5.00095e-06
59,6877.12,0.30657,0.18918,0.78111,0.93778,0.89983,0.94426,0.78673,0.59029,0.42608,0.82347,3.3343e-06,3.3343e-06,3.3343e-06
60,7000.11,0.3083,0.19126,0.78095,0.93782,0.90057,0.94428,0.78645,0.59118,0.4266,0.82371,1.66765e-06,1.66765e-06,1.66765e-06
